"athleteName","clubName","countryName"
"Nikita Haikin","Chelsea F.C.","Israel"
"Luke Freeman","Arsenal F.C.","United Kingdom"
"Fraser Franks","Chelsea F.C.","United Kingdom"
"Fred Williams (footballer, born 1873)","Manchester United F.C.","United Kingdom"
"Alex Menzies (footballer, born 1882)","Manchester United F.C.","United Kingdom"
"Allan Craig","Chelsea F.C.","Scotland"
"Ken Nicholas","Arsenal F.C.","United Kingdom"
"Albert Jackson (footballer)","Manchester United F.C.","United Kingdom"
"Martin Moran (footballer)","Chelsea F.C.","Scotland"
"Jimmy Dyer","Manchester United F.C.","United Kingdom"
"Jimmy Croal","Chelsea F.C.","United Kingdom"
"Wally Bellett","Chelsea F.C.","United Kingdom"
"Florent Malouda","Chelsea F.C.","France"
"Eddie Colman","Manchester United F.C.","United Kingdom"
"Papy Djilobodji","Chelsea F.C.","Senegal"
"Jackie Scott","Manchester United F.C.","United Kingdom"
"Isaac Tomlinson","Arsenal F.C.","United Kingdom"
"Richard Goddard-Crawley","Arsenal F.C.","United Kingdom"
"Keil O'Brien","Manchester United F.C.","United Kingdom"
"John Priestley (footballer)","Chelsea F.C.","Scotland"
"Noah Abrams","Arsenal F.C.","United Kingdom"
"Andreas Christensen","Chelsea F.C.","Denmark"
"Cristhian Mosquera","Arsenal F.C.","Spain"
"Ainsley Maitland-Niles","Arsenal F.C.","United Kingdom"
"Alejandro Garnacho","Manchester United F.C.","Spain"
"Gabriel Martinelli","Arsenal F.C.","Brazil"
"Ismaël Bennacer","Arsenal F.C.","France"
"Jakub Kiwior","Arsenal F.C.","Poland"
"Marc Bola","Arsenal F.C.","United Kingdom"
"Kevin De Bruyne","Chelsea F.C.","Belgium"
"João Pedro (footballer, born 2001)","Chelsea F.C.","Brazil"
"Lucas Bergström","Chelsea F.C.","Finland"
"Levi Colwill","Chelsea F.C.","United Kingdom"
"Liam Delap","Chelsea F.C.","United Kingdom"
"Mattéo Guendouzi","Arsenal F.C.","France"
"Nicolas Jackson","Chelsea F.C.","The Gambia"
"Reggie Walsh","Chelsea F.C.","United Kingdom"
"Tariq Lamptey","Chelsea F.C.","United Kingdom"
"Andy Linighan","Arsenal F.C.","United Kingdom"
"Lucas Piazon","Chelsea F.C.","Brazil"
"Fraizer Campbell","Manchester United F.C.","United Kingdom"
"Jimmy Davis (footballer)","Manchester United F.C.","England"
"Herbert Birchenough","Manchester United F.C.","United Kingdom"
"Vic Groves","Arsenal F.C.","United Kingdom"
"William Robertson (footballer, born 1907)","Manchester United F.C.","United Kingdom"
"Alan Cocks","Chelsea F.C.","United Kingdom"
"Billy Gee","Chelsea F.C.","United Kingdom"
"Dion Rankine","Chelsea F.C.","United Kingdom"
"Harrison Ashby","Chelsea F.C.","United Kingdom"
"Jeff Reine-Adélaïde","Arsenal F.C.","France"
"Joe Riley (footballer, born 1996)","Manchester United F.C.","United Kingdom"
"Kyle Scott","Chelsea F.C.","United Kingdom"
"Michael Golding (footballer)","Chelsea F.C.","United Kingdom"
"Ola Aina","Chelsea F.C.","United Kingdom"
"Thomas Partey","Arsenal F.C.","Ghana"
"Thierno Ballo","Chelsea F.C.","Ivory Coast"
"Tim Akinola","Arsenal F.C.","Nigeria"
"Willy Kambwala","Manchester United F.C.","Democratic Republic of the Congo"
"Xavier Simons","Chelsea F.C.","United Kingdom"
"Zidane Iqbal","Manchester United F.C.","United Kingdom"
"Bradley Ibrahim","Arsenal F.C.","United Kingdom"
"Donald Love","Manchester United F.C.","United Kingdom"
"Zech Medley","Chelsea F.C.","United Kingdom"
"George Best","Manchester United F.C.","United Kingdom"
"Edinson Cavani","Manchester United F.C.","Uruguay"
"Sergio Romero","Manchester United F.C.","Argentina"
"Nemanja Vidić","Manchester United F.C.","Serbia"
"Bjarne Goldbæk","Chelsea F.C.","Danish Realm"
"Nick Colgan","Chelsea F.C.","Republic of Ireland"
"Junior Mendes","Chelsea F.C.","United Kingdom"
"Lennard Sowah","Arsenal F.C.","Germany"
"Beaumont Asquith","Manchester United F.C.","England"
"John Grimwood","Manchester United F.C.","United Kingdom"
"Colin Hoyle","Arsenal F.C.","United Kingdom"
"Colin Waldron","Manchester United F.C.","United Kingdom"
"Johnny Downie","Manchester United F.C.","United Kingdom"
"Ian Moir (footballer)","Manchester United F.C.","United Kingdom"
"Joe Hanrahan","Manchester United F.C.","Republic of Ireland"
"Joe Fall","Manchester United F.C.","United Kingdom"
"John Christie (footballer, born 1881)","Manchester United F.C.","United Kingdom"
"Sid Tickridge","Chelsea F.C.","United Kingdom"
"Laurence Abrams","Chelsea F.C.","United Kingdom"
"Thomas Drain","Arsenal F.C.","Scotland"
"Theo Lewis","Chelsea F.C.","United Kingdom"
"Chris Regis","Arsenal F.C.","United Kingdom"
"George Luke (footballer, born 1948)","Chelsea F.C.","United Kingdom"
"Mark Howard (footballer, born January 1986)","Manchester United F.C.","United Kingdom"
"John Anderson (footballer, born 1878)","Arsenal F.C.","United Kingdom"
"Petar Borota","Chelsea F.C.","Serbia"
"Adam Coombes","Chelsea F.C.","United Kingdom"
"José Antonio Reyes","Arsenal F.C.","Spain"
"Steve Sidwell","Chelsea F.C.","United Kingdom"
"Harold Halse","Manchester United F.C.","United Kingdom"
"Russell Beardsmore","Manchester United F.C.","United Kingdom"
"Kalam Mooniaruck","Manchester United F.C.","United Kingdom"
"Fred Hopkin","Manchester United F.C.","United Kingdom"
"Joe Murphy (footballer, born 1873)","Arsenal F.C.","United Kingdom"
"Ralph Birkett","Arsenal F.C.","United Kingdom"
"Bill Allison (footballer)","Arsenal F.C.","United Kingdom"
"Carney Chukwuemeka","Chelsea F.C.","Austria"
"Arjen Robben","Chelsea F.C.","Netherlands"
"Antonio Valencia","Manchester United F.C.","Ecuador"
"Mikaël Silvestre","Arsenal F.C.","France"
"Tony Dorigo","Chelsea F.C.","Australia"
"Ramón Hicks","Manchester United F.C.","Paraguay"
"Caesar Jenkyns","Arsenal F.C.","United Kingdom"
"Rhys Weston","Arsenal F.C.","United Kingdom"
"Andy Duncan (footballer, born 1977)","Manchester United F.C.","United Kingdom"
"Andy Walker (footballer, born 1891)","Chelsea F.C.","United Kingdom"
"Darren Wood","Chelsea F.C.","United Kingdom"
"Ian Gillibrand","Arsenal F.C.","United Kingdom"
"Tom Walley","Arsenal F.C.","United Kingdom"
"Peter Jones (footballer, born 1937)","Manchester United F.C.","United Kingdom"
"Tony Gill","Manchester United F.C.","United Kingdom"
"Tony Young (footballer)","Manchester United F.C.","United Kingdom"
"Tom Davies (footballer, born 1992)","Manchester United F.C.","United Kingdom"
"Willis Rippon","Arsenal F.C.","United Kingdom"
"David James (footballer, born 1917)","Chelsea F.C.","United Kingdom"
"Arthur Kempton","Arsenal F.C.","United Kingdom"
"Greg Allen (footballer)","Arsenal F.C.","United Kingdom"
"Manolis Kragiopoulos","Arsenal F.C.","Greece"
"Paul Jones (footballer, born September 1953)","Manchester United F.C.","United Kingdom"
"Adrian Doherty","Manchester United F.C.","United Kingdom"
"Gervinho","Arsenal F.C.","Ivory Coast"
"Omar Rekik","Arsenal F.C.","Netherlands"
"Mateja Kežman","Chelsea F.C.","Serbia"
"Shola Shoretire","Manchester United F.C.","United Kingdom"
"Morten Nielsen (footballer, born 1990)","Chelsea F.C.","Danish Realm"
"Ray Baartz","Manchester United F.C.","Australia"
"Jacob Carney","Manchester United F.C.","United Kingdom"
"Graham Stack (footballer)","Arsenal F.C.","United Kingdom"
"Danny Clapton","Arsenal F.C.","United Kingdom"
"Charles Lewis (footballer)","Arsenal F.C.","United Kingdom"
"Jock Robson","Arsenal F.C.","United Kingdom"
"Benny Jones","Chelsea F.C.","United Kingdom"
"Bill Routledge","Chelsea F.C.","United Kingdom"
"Charlie Richards","Manchester United F.C.","United Kingdom"
"Charles Mackie (Scottish footballer)","Manchester United F.C.","United Kingdom"
"George Henderson (footballer, born 1880)","Chelsea F.C.","United Kingdom"
"George Hunt (footballer, born 1910)","Arsenal F.C.","United Kingdom"
"George Haslam (footballer)","Manchester United F.C.","United Kingdom"
"Sandy Main","Arsenal F.C.","United Kingdom"
"George Lake (footballer)","Chelsea F.C.","United Kingdom"
"Frank Boulton (footballer)","Arsenal F.C.","United Kingdom"
"Jonathan Dinzeyi","Arsenal F.C.","United Kingdom"
"Jimmy Smith (footballer, born 1987)","Chelsea F.C.","United Kingdom"
"Perry Groves","Arsenal F.C.","United Kingdom"
"Gavin Peacock","Chelsea F.C.","United Kingdom"
"Arthur Worrall","Arsenal F.C.","United Kingdom"
"Pat Baldwin (footballer)","Chelsea F.C.","City status in the United Kingdom"
"Steve Livingstone","Chelsea F.C.","United Kingdom"
"Ernie Ackerley","Manchester United F.C.","United Kingdom"
"George Adams (footballer, born 1947)","Chelsea F.C.","United Kingdom"
"Innes Ritchie","Chelsea F.C.","United Kingdom"
"Craig Dean (footballer)","Manchester United F.C.","United Kingdom"
"Jock Caldwell","Arsenal F.C.","Scotland"
"Matty Willock","Manchester United F.C.","United Kingdom"
"Jackie Blanchflower","Manchester United F.C.","United Kingdom"
"Neto (footballer, born 1989)","Arsenal F.C.","Brazil"
"Phil Bardsley","Manchester United F.C.","United Kingdom"
"Alex Oxlade-Chamberlain","Arsenal F.C.","United Kingdom"
"Dylan Levitt","Manchester United F.C.","United Kingdom"
"Rafael (footballer, born 1990)","Manchester United F.C.","Brazil"
"Ricardo Quaresma","Chelsea F.C.","Portugal"
"Alex Forsyth (footballer, born 1952)","Manchester United F.C.","United Kingdom"
"Stan Willemse","Chelsea F.C.","United Kingdom"
"Noel O'Brien (footballer, born 1956)","Arsenal F.C.","United Kingdom"
"Tyreece John-Jules","Arsenal F.C.","United Kingdom"
"Frank Leboeuf","Chelsea F.C.","France"
"Danny Galbraith","Manchester United F.C.","United Kingdom"
"Guy Demel","Arsenal F.C.","France"
"Jim Leighton","Manchester United F.C.","Scotland"
"Alexis Nicolas","Chelsea F.C.","United Kingdom"
"Carlin Itonga","Arsenal F.C.","Democratic Republic of the Congo"
"Carl Dale","Arsenal F.C.","United Kingdom"
"Len Allum","Chelsea F.C.","United Kingdom"
"Albert Ross (footballer)","Arsenal F.C.","United Kingdom"
"Gary Bailey","Manchester United F.C.","United Kingdom"
"John Connelly (footballer, born 1938)","Manchester United F.C.","United Kingdom"
"Franco Di Santo","Chelsea F.C.","Argentina"
"Jim Holton","Manchester United F.C.","Scotland"
"Alf Common","Arsenal F.C.","United Kingdom"
"Bob Donaldson","Manchester United F.C.","Scotland"
"Kian Best","Chelsea F.C.","United Kingdom"
"Gordon Davies (footballer, born 1955)","Chelsea F.C.","United Kingdom"
"Henry Boyd (footballer)","Manchester United F.C.","United Kingdom"
"Norrie Davidson","Chelsea F.C.","Scotland"
"Krystal Parker","Manchester United F.C.","United Kingdom"
"Lindsay McKeown","Manchester United F.C.","United Kingdom"
"Kostas Pileas","Arsenal F.C.","Cyprus"
"Fran Mérida","Arsenal F.C.","Spain"
"Ritchie De Laet","Manchester United F.C.","Belgium"
"Ray Parlour","Arsenal F.C.","United Kingdom"
"Derek Kevan","Chelsea F.C.","United Kingdom"
"George Male","Arsenal F.C.","United Kingdom"
"Billy Hughes (footballer, born 1918)","Chelsea F.C.","United Kingdom"
"Billy Goodwin","Manchester United F.C.","United Kingdom"
"Bob Turnbull","Chelsea F.C.","Scotland"
"Billy Woodward (footballer)","Manchester United F.C.","United Kingdom"
"Bob McFarlane (footballer, died 1898)","Manchester United F.C.","Scotland"
"Brian Chambers (footballer)","Arsenal F.C.","United Kingdom"
"Jimmy Kelly (footballer, born 1957)","Manchester United F.C.","United Kingdom"
"Nathan Blake","Chelsea F.C.","United Kingdom"
"Reg Chester","Manchester United F.C.","United Kingdom"
"Luke Webb","Arsenal F.C.","United Kingdom"
"Stuart Brightwell","Manchester United F.C.","United Kingdom"
"Sean McAllister (footballer, born 1987)","Manchester United F.C.","United Kingdom"
"Joe Heath","Manchester United F.C.","United Kingdom"
"Ron Ferrier","Manchester United F.C.","United Kingdom"
"Roy Killin","Manchester United F.C.","Canada"
"William Bradshaw (footballer)","Arsenal F.C.","England"
