athleteName,clubName,countryName
Thibaut Courtois,Chelsea F.C.,Belgium
John Terry,Chelsea F.C.,United Kingdom
Antonio Rüdiger,Chelsea F.C.,Germany
Claudio Pizarro,Chelsea F.C.,Peru
Loïc Rémy,Chelsea F.C.,France
William Foulke,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Winston Bogarde,Chelsea F.C.,Kingdom of the Netherlands
Lucas Piazón,Chelsea F.C.,Brazil
Ashley Cole,Chelsea F.C.,United Kingdom
Ken Monkou,Chelsea F.C.,Kingdom of the Netherlands
Alexandre Pato,Chelsea F.C.,Brazil
Radamel Falcao,Chelsea F.C.,Colombia
Fred Taylor,Chelsea F.C.,United Kingdom
Marko Marin,Chelsea F.C.,Germany
Robert Huth,Chelsea F.C.,German Democratic Republic
Carlton Cole,Chelsea F.C.,United Kingdom
Mark Schwarzer,Chelsea F.C.,Australia
Hernán Crespo,Chelsea F.C.,Argentina
Mikel John Obi,Chelsea F.C.,Nigeria
Christian Panucci,Chelsea F.C.,Italy
George Weah,Chelsea F.C.,Liberia
Tony Dorigo,Chelsea F.C.,Australia
Ruud Gullit,Chelsea F.C.,Kingdom of the Netherlands
Raul Meireles,Chelsea F.C.,Portugal
Peter Osgood,Chelsea F.C.,United Kingdom
Salomon Kalou,Chelsea F.C.,Ivory Coast
Vivian Woodward,Chelsea F.C.,United Kingdom
Branislav Ivanović,Chelsea F.C.,Serbia
Yuri Zhirkov,Chelsea F.C.,Russia
Claude Makelélé,Chelsea F.C.,Democratic Republic of the Congo
Paulo Ferreira,Chelsea F.C.,Portugal
Joe Cole,Chelsea F.C.,United Kingdom
Glen Johnson,Chelsea F.C.,United Kingdom
Eiður Guðjohnsen,Chelsea F.C.,Iceland
Ricardo Quaresma,Chelsea F.C.,Portugal
Yossi Benayoun,Chelsea F.C.,Israel
Khalid Boulahrouz,Chelsea F.C.,Kingdom of the Netherlands
Shaun Wright-Phillips,Chelsea F.C.,United Kingdom
Damien Duff,Chelsea F.C.,Ireland
Roberto Di Matteo,Chelsea F.C.,Switzerland
Marcel Desailly,Chelsea F.C.,Ghana
Jeffrey Bruma,Chelsea F.C.,Kingdom of the Netherlands
Robert Green,Chelsea F.C.,United Kingdom
Adrian Mutu,Chelsea F.C.,Romania
Mateja Kežman,Chelsea F.C.,Serbia
Geremi,Chelsea F.C.,Cameroon
Ramires,Chelsea F.C.,Brazil
Filipe Morais,Chelsea F.C.,Portugal
Wayne Bridge,Chelsea F.C.,United Kingdom
Carlo Cudicini,Chelsea F.C.,Italy
Emerson Thome,Chelsea F.C.,Brazil
Thiago Silva,Chelsea F.C.,Brazil
Tiago Mendes,Chelsea F.C.,Portugal
José Bosingwa,Chelsea F.C.,Portugal
Brian Laudrup,Chelsea F.C.,Kingdom of Denmark
Scott Parker,Chelsea F.C.,United Kingdom
Eden Hazard,Chelsea F.C.,Belgium
Mark Hughes,Chelsea F.C.,United Kingdom
Hilário,Chelsea F.C.,Portugal
Tore André Flo,Chelsea F.C.,Norway
Florent Malouda,Chelsea F.C.,France
Nicolas Anelka,Chelsea F.C.,France
William Gallas,Chelsea F.C.,France
Gianfranco Zola,Chelsea F.C.,Italy
Alec Chamberlain,Chelsea F.C.,United Kingdom
Ray Lewington,Chelsea F.C.,United Kingdom
Nathaniel Chalobah,Chelsea F.C.,Sierra Leone
Siobhan Chamberlain,Chelsea F.C.,United Kingdom
Dunia Susi,Chelsea F.C.,United Kingdom
Claire Rafferty,Chelsea F.C.,United Kingdom
Anita Asante,Chelsea F.C.,United Kingdom
Eniola Aluko,Chelsea F.C.,United Kingdom
Ellen White,Chelsea F.C.,United Kingdom
Michael Ballack,Chelsea F.C.,Germany
Cesc Fàbregas,Chelsea F.C.,Spain
Oscar,Chelsea F.C.,Brazil
Maniche,Chelsea F.C.,Portugal
Andriy Shevchenko,Chelsea F.C.,Ukraine
Frank Lampard,Chelsea F.C.,United Kingdom
Fernando Torres,Chelsea F.C.,Spain
Arjen Robben,Chelsea F.C.,Kingdom of the Netherlands
Didier Drogba,Chelsea F.C.,Ivory Coast
Alex Rodrigo Dias da Costa,Chelsea F.C.,Brazil
Daniel Sturridge,Chelsea F.C.,United Kingdom
Jimmy Floyd Hasselbaink,Chelsea F.C.,Kingdom of the Netherlands
Gary Cahill,Chelsea F.C.,United Kingdom
Marco Amelia,Chelsea F.C.,Italy
Juliano Belletti,Chelsea F.C.,Brazil
Gianluca Vialli,Chelsea F.C.,Italy
Phil Younghusband,Chelsea F.C.,Philippines
Ross Turnbull,Chelsea F.C.,United Kingdom
Fabio Borini,Chelsea F.C.,Italy
Ian Pearce,Chelsea F.C.,United Kingdom
Junior Mendes,Chelsea F.C.,United Kingdom
John Harris,Chelsea F.C.,United Kingdom
Matej Delač,Chelsea F.C.,Croatia
Frode Grodås,Chelsea F.C.,Norway
Yūki Nagasato,Chelsea F.C.,Japan
Emmanuel Petit,Chelsea F.C.,France
Boudewijn Zenden,Chelsea F.C.,Kingdom of the Netherlands
Steve Sidwell,Chelsea F.C.,United Kingdom
Tal Ben Haim,Chelsea F.C.,Israel
Dave Beasant,Chelsea F.C.,United Kingdom
Frank Leboeuf,Chelsea F.C.,France
Victor Moses,Chelsea F.C.,Nigeria
Demba Ba,Chelsea F.C.,France
Ryan Bertrand,Chelsea F.C.,United Kingdom
Jesper Grønkjær,Chelsea F.C.,Kingdom of Denmark
Glenn Hoddle,Chelsea F.C.,United Kingdom
Vinnie Jones,Chelsea F.C.,United Kingdom
Jimmy Greaves,Chelsea F.C.,United Kingdom
Miroslav Stoch,Chelsea F.C.,Slovakia
Gaël Kakuta,Chelsea F.C.,France
Eduardo Carvalho,Chelsea F.C.,Portugal
Nils Middelboe,Chelsea F.C.,Kingdom of Denmark
Scott Sinclair,Chelsea F.C.,United Kingdom
Josh McEachran,Chelsea F.C.,United Kingdom
Asier del Horno,Chelsea F.C.,Spain
Jared Borgetti,Chelsea F.C.,Mexico
Celestine Babayaro,Chelsea F.C.,Nigeria
Mineiro,Chelsea F.C.,Brazil
Sam Hutchinson,Chelsea F.C.,United Kingdom
George Graham,Chelsea F.C.,United Kingdom
Terry Venables,Chelsea F.C.,United Kingdom
Michael Mancienne,Chelsea F.C.,Seychelles
Franco Di Santo,Chelsea F.C.,Argentina
Albert Ferrer,Chelsea F.C.,Spain
Baba Rahman,Chelsea F.C.,Ghana
Patrick Bamford,Chelsea F.C.,United Kingdom
Dennis Wise,Chelsea F.C.,United Kingdom
Islam Feruz,Chelsea F.C.,Somalia
James Younghusband,Chelsea F.C.,Philippines
Anthony Grant,Chelsea F.C.,United Kingdom
Ron Harris,Chelsea F.C.,United Kingdom
Gus Poyet,Chelsea F.C.,Uruguay
Lianne Sanderson,Chelsea F.C.,United Kingdom
Magnus Hedman,Chelsea F.C.,Sweden
Ben Sahar,Chelsea F.C.,Israel
Ed de Goey,Chelsea F.C.,Kingdom of the Netherlands
Mikael Forssell,Chelsea F.C.,Finland
Peter Bonetti,Chelsea F.C.,United Kingdom
Jürgen Macho,Chelsea F.C.,Austria
Alec Cheyne,Chelsea F.C.,United Kingdom
Barry Bridges,Chelsea F.C.,United Kingdom
Frank Blunstone,Chelsea F.C.,United Kingdom
Slobodan Rajković,Chelsea F.C.,Serbia
Mario Stanić,Chelsea F.C.,Croatia
Filipe Luís,Chelsea F.C.,Brazil
Mark Bosnich,Chelsea F.C.,Australia
Ray Wilkins,Chelsea F.C.,United Kingdom
Mario Melchiot,Chelsea F.C.,Kingdom of the Netherlands
Graeme Le Saux,Chelsea F.C.,United Kingdom
Chris Sutton,Chelsea F.C.,United Kingdom
Alexey Smertin,Chelsea F.C.,Russia
Pierluigi Casiraghi,Chelsea F.C.,Italy
Steve Clarke,Chelsea F.C.,United Kingdom
Alex Stepney,Chelsea F.C.,United Kingdom
Jack Cork,Chelsea F.C.,United Kingdom
Willy Caballero,Chelsea F.C.,Argentina
Kano,Chelsea F.C.,United Kingdom
Jiří Jarošík,Chelsea F.C.,Czech Republic
Ulises Dávila,Chelsea F.C.,Mexico
Diego Costa,Chelsea F.C.,Brazil
Alcides Araújo Alves,Chelsea F.C.,Brazil
Jackie Groenen,Chelsea F.C.,Kingdom of the Netherlands
Tony Cascarino,Chelsea F.C.,Ireland
Bobby Evans,Chelsea F.C.,United Kingdom
Petr Čech,Chelsea F.C.,Czech Republic
Gonzalo Higuaín,Chelsea F.C.,France
Lassana Diarra,Chelsea F.C.,France
Ji So-Yun,Chelsea F.C.,South Korea
Wallace Oliveira dos Santos,Chelsea F.C.,Brazil
Didier Deschamps,Chelsea F.C.,France
Kenny Swain,Chelsea F.C.,United Kingdom
Bob Gregg,Chelsea F.C.,United Kingdom
Serey Dié,Chelsea F.C.,Ivory Coast
Andy Townsend,Chelsea F.C.,Ireland
Graham Rix,Chelsea F.C.,United Kingdom
Sid Castle,Chelsea F.C.,United Kingdom
Colin Pates,Chelsea F.C.,United Kingdom
Dmitri Kharine,Chelsea F.C.,Russia
Mbark Boussoufa,Chelsea F.C.,Morocco
Ricardo Carvalho,Chelsea F.C.,Portugal
Duncan Shearer,Chelsea F.C.,United Kingdom
Roy Bentley,Chelsea F.C.,United Kingdom
Ben Gordon,Chelsea F.C.,United Kingdom
Duncan McKenzie,Chelsea F.C.,United Kingdom
Lee Sawyer,Chelsea F.C.,United Kingdom
Gary Chivers,Chelsea F.C.,United Kingdom
Clive Walker,Chelsea F.C.,United Kingdom
Charlie Cooke,Chelsea F.C.,United Kingdom
Pierre Issa,Chelsea F.C.,France
Momodou Ceesay,Chelsea F.C.,The Gambia
William Lewis,Chelsea F.C.,United Kingdom
Marco van Ginkel,Chelsea F.C.,Kingdom of the Netherlands
Mal Donaghy,Chelsea F.C.,United Kingdom
Tom Boyd,Chelsea F.C.,United Kingdom
Frank Sinclair,Chelsea F.C.,United Kingdom
Deco,Chelsea F.C.,Brazil
Filipe Oliveira,Chelsea F.C.,Portugal
Willi Steffen,Chelsea F.C.,Switzerland
David Hopkin,Chelsea F.C.,United Kingdom
George Mills,Chelsea F.C.,United Kingdom
Bjarne Goldbæk,Chelsea F.C.,Kingdom of Denmark
Jes Høgh,Chelsea F.C.,Kingdom of Denmark
Erland Johnsen,Chelsea F.C.,Norway
Kerry Dixon,Chelsea F.C.,United Kingdom
Nuno Morais,Chelsea F.C.,Portugal
Gordon Durie,Chelsea F.C.,United Kingdom
Clive Allen,Chelsea F.C.,United Kingdom
Ron Greenwood,Chelsea F.C.,United Kingdom
Enrique de Lucas,Chelsea F.C.,Spain
Tony Hateley,Chelsea F.C.,United Kingdom
Ronald Brebner,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Stewart Houston,Chelsea F.C.,United Kingdom
Gary Locke,Chelsea F.C.,United Kingdom
Ken Shellito,Chelsea F.C.,United Kingdom
Petar Borota,Chelsea F.C.,Yugoslavia
Jack Kirwan,Chelsea F.C.,Ireland
Nigel Spackman,Chelsea F.C.,United Kingdom
Mike Fillery,Chelsea F.C.,United Kingdom
Graham Roberts,Chelsea F.C.,United Kingdom
Tommy Langley,Chelsea F.C.,United Kingdom
Tommy Lawton,Chelsea F.C.,United Kingdom
Derek Johnstone,Chelsea F.C.,United Kingdom
Tommy Docherty,Chelsea F.C.,United Kingdom
Bernard Lambourde,Chelsea F.C.,France
Muzzy Izzet,Chelsea F.C.,United Kingdom
Jody Morris,Chelsea F.C.,United Kingdom
David Rocastle,Chelsea F.C.,United Kingdom
Jimmy Smith,Chelsea F.C.,United Kingdom
Laurent Charvet,Chelsea F.C.,France
Paul Parker,Chelsea F.C.,United Kingdom
Nick Colgan,Chelsea F.C.,Ireland
Amin Affane,Chelsea F.C.,Sweden
Ben Warren,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Bert Murray,Chelsea F.C.,United Kingdom
Bertrand Traoré,Chelsea F.C.,Burkina Faso
Bobby Campbell,Chelsea F.C.,United Kingdom
Lenny Pidgeley,Chelsea F.C.,United Kingdom
Charlie Thomson,Chelsea F.C.,United Kingdom
Tomáš Kalas,Chelsea F.C.,Czech Republic
Syd Bishop,Chelsea F.C.,United Kingdom
Billy Brown,Chelsea F.C.,United Kingdom
Bobby Smith,Chelsea F.C.,United Kingdom
Bobby Tambling,Chelsea F.C.,United Kingdom
Christian Atsu,Chelsea F.C.,Ghana
Joe Keenan,Chelsea F.C.,United Kingdom
Yves Ma-Kalambay,Chelsea F.C.,Belgium
Pat Nevin,Chelsea F.C.,United Kingdom
Slaviša Jokanović,Chelsea F.C.,Serbia
Eddie McCreadie,Chelsea F.C.,United Kingdom
Rati Aleksidze,Chelsea F.C.,Georgia
Hughie Gallacher,Chelsea F.C.,United Kingdom
Samuele Dalla Bona,Chelsea F.C.,Italy
Jacopo Sala,Chelsea F.C.,Italy
Michael Essien,Chelsea F.C.,Ghana
Piet de Visser,Chelsea F.C.,Kingdom of the Netherlands
Jakob Kjeldbjerg,Chelsea F.C.,Kingdom of Denmark
Marco Ambrosio,Chelsea F.C.,Italy
Gabriele Ambrosetti,Chelsea F.C.,Italy
Danny Philliskirk,Chelsea F.C.,United Kingdom
Conor Clifford,Chelsea F.C.,Ireland
Jacob Mellis,Chelsea F.C.,United Kingdom
Carl Magnay,Chelsea F.C.,United Kingdom
Chris Zoricich,Chelsea F.C.,New Zealand
John Tait Robertson,Chelsea F.C.,United Kingdom
Paul Elliott,Chelsea F.C.,United Kingdom
Craig Forrest,Chelsea F.C.,Canada
Tom Taiwo,Chelsea F.C.,United Kingdom
Eddie Newton,Chelsea F.C.,United Kingdom
Dave Mitchell,Chelsea F.C.,Australia
David Speedie,Chelsea F.C.,United Kingdom
David Webb,Chelsea F.C.,United Kingdom
Ken Armstrong,Chelsea F.C.,United Kingdom
Harry Burgess,Chelsea F.C.,United Kingdom
Derek Kevan,Chelsea F.C.,United Kingdom
Samuel Eto'o,Chelsea F.C.,Cameroon
Eddie Niedzwiecki,Chelsea F.C.,United Kingdom
George Hilsdon,Chelsea F.C.,United Kingdom
John Hollins,Chelsea F.C.,United Kingdom
Milan Lalkovič,Chelsea F.C.,Slovakia
Rhys Taylor,Chelsea F.C.,United Kingdom
Roy Wegerle,Chelsea F.C.,South Africa
Micky Droy,Chelsea F.C.,United Kingdom
Alan Hudson,Chelsea F.C.,United Kingdom
Alex Jackson,Chelsea F.C.,United Kingdom
Len Dolding,Chelsea F.C.,United Kingdom
Nat Robinson,Chelsea F.C.,United Kingdom
Neil Clement,Chelsea F.C.,United Kingdom
George Hunter,Chelsea F.C.,United Kingdom of Great Britain and Ireland
Gustavo Lazzaretti,Chelsea F.C.,Brazil
Chris Hutchings,Chelsea F.C.,United Kingdom
Andrew Wilson,Chelsea F.C.,United Kingdom
Ian Hutchinson,Chelsea F.C.,United Kingdom
Jimmy Townley,Chelsea F.C.,United Kingdom
Joey Jones,Chelsea F.C.,United Kingdom
John Spencer,Chelsea F.C.,United Kingdom
Nathan Aké,Chelsea F.C.,Kingdom of the Netherlands
Craig Rocastle,Chelsea F.C.,United Kingdom
Pop Robson,Chelsea F.C.,United Kingdom
Morten Nielsen,Chelsea F.C.,Kingdom of Denmark
Danny Drinkwater,Chelsea F.C.,United Kingdom
Max Woosnam,Chelsea F.C.,United Kingdom
Marvin Hinton,Chelsea F.C.,United Kingdom
Max Seeburg,Chelsea F.C.,Germany
Mickey Thomas,Chelsea F.C.,United Kingdom
Ned Barkas,Chelsea F.C.,United Kingdom
